reference	hypothesis	wer	wacc	plausibility	norm_plausibility	hallucination_like	hallucination_wacc_threshold	hallucination_plausibility_threshold	2gram_reps	3gram_reps	4gram_reps	detail_file	eval_config	perturbation	detail_row	reference_norm	hypothesis_norm	analysis_id	rank	best_train_corpus	best_train_source	best_tfidf_similarity	best_similarity_class	best_token_jaccard	best_hypothesis_token_coverage	best_train_row	best_train_path	best_train_sentence_id	best_train_text
it is inhibited by the pneumotaxic centre	it is inhibited by the pneumotoxic center	0.2857	0.7143	0.0026	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	74	it is inhibited by the pneumotaxic centre	it is inhibited by the pneumotoxic center	1614	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.411068669606959	novel_or_generic	0.4	0.5714285714285714	35006	common_voice_en_19737749.mp3	21ee83e8cea6a2887e6602bf6b2038bc3d04d56edd5302082165ac0b323e4131	It is abutted by the Tatoosh Wilderness.
an important person in the life of emile claus was the painter jenny montigny	an important person in the life of emilio claus was the painter jim montegna	0.2143	0.7857	0.0052	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	76	an important person in the life of emile claus was the painter jenny montigny	an important person in the life of emilio claus was the painter jim montegna	1615	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.40519186728870926	novel_or_generic	0.3333333333333333	0.46153846153846156	66463	common_voice_en_35325165.mp3	c67c59fdccc82d46a16e0a897a0ad70b3cca1d85c25dcc65c92175ad843d6c6b	An important person in the history of Grayling is Rasmus Hanson.
maybe he just put it there for safe keeping	maybe he just put it there for safekeeping	0.2222	0.7778	0.0175	0.9845	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	84	maybe he just put it there for safe keeping	maybe he just put it there for safekeeping	1616	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3731194242526623	novel_or_generic	0.4444444444444444	0.5	106738	common_voice_en_20043398.mp3	2dcc8f0c83fcb0a8b87c4b2a526ed990deb8a1ada20819f3f986b0ed4b700c1c	He just lives for it.
the state plans to re work those curves to improve safety	the state plans to rework those groups to improve safety	0.2727	0.7273	0.006	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	89	the state plans to re work those curves to improve safety	the state plans to rework those groups to improve safety	1617	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.3272651387556138	novel_or_generic	0.16666666666666666	0.2222222222222222	13622	common_voice_en_28657837.mp3	bb78dc59f75cf64d46d57629be34a851d3bf9496207daa59370bdc7b4bc4e5d6	The state was named Seorabeol.
lion rock is located north west of wong tai sin	lion rock is located northwest of wong tai singh	0.3	0.7	0.0021	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	105	lion rock is located north west of wong tai sin	lion rock is located northwest of wong tai singh	1618	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.5186900963743092	weak_overlap	0.2857142857142857	0.4444444444444444	38051	common_voice_en_36772195.mp3	cb43ba527ce00844df4ab6adc90a9bad6002e59eac299f3a20d6436f86774b69	The district centre is Arghandab, located northwest of Kandahar.
his most important work was in the field of transformations pioneered by sophus lie	his most important work was in the field of transformations pioneered by sofasly	0.1429	0.8571	0.006	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	122	his most important work was in the field of transformations pioneered by sophus lie	his most important work was in the field of transformations pioneered by sofasly	1619	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3675741495148577	novel_or_generic	0.2	0.3076923076923077	110778	common_voice_en_20838908.mp3	42f67d2f9bf74befb4d2ad3f4a3f0fa045e5852f895b89fdb79365623c37877a	It is still a key tool in the field of palaeontology.
the creeks refused	the greeks refused	0.3333	0.6667	0.0022	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	126	the creeks refused	the greeks refused	1620	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4369262438002812	novel_or_generic	0.2	0.6666666666666666	84774	common_voice_en_21312439.mp3	4c339060227c78653faa060cc9a3c0a41de489dc6ddc9c4f441d0ca0ab1a21e5	The Greeks constructed sophisticated water and hydraulic power systems.
he took the fourth part and handed it to the monk	he took the first cup and handed it to the monk	0.1818	0.8182	0.0149	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	128	he took the fourth part and handed it to the monk	he took the first cup and handed it to the monk	1621	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.32031564168344273	novel_or_generic	0.21052631578947367	0.4	20222	common_voice_en_19737749.mp3	21ee83e8cea6a2887e6602bf6b2038bc3d04d56edd5302082165ac0b323e4131	"Later he took the precautionary step of changing his cover name to ""Fred""."
vera schlink is a talented fund manager she works in vienna	verasling is a talented farm manager she works in vienna	0.2727	0.7273	0.0009	0.8967	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	135	vera schlink is a talented fund manager she works in vienna	verasling is a talented farm manager she works in vienna	1622	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.45290798966430146	weak_overlap	0.1875	0.3	60427	common_voice_en_27628422.mp3	b0741f2ad1b66c69958a5cf7e0c8b48ca2d2edc18750456d8329b128b3007607	But predominantly she works in South Indian film industry.
hertz s daughters never married and he has no descendants	hurs is totally remarried and he has no descendants	0.5	0.5	0.0088	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	141	hertz s daughters never married and he has no descendants	hurs is totally remarried and he has no descendants	1623	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.5178476938523087	weak_overlap	0.3	0.3333333333333333	117390	common_voice_en_20620313.mp3	3e42be1f2b58b70b483bd0e9d9460eedc63a918b99e16c895013f3d7f99de210	He has no education.
luckily the dagger couldn t penetrate the bullet proof vest	luckily the dagger couldn t penetrate the bulletproof vest	0.2	0.8	0.0013	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	153	luckily the dagger couldn t penetrate the bullet proof vest	luckily the dagger couldn t penetrate the bulletproof vest	1624	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.39208511132743595	novel_or_generic	0.2	0.25	31754	common_voice_en_21999038.mp3	579ba92c3f01f4ff2b04d005dca866d3dd4ea648c6a9b7105865488d8818351c	Steroids penetrate the barrier.
his other film roles include who done it	his other film roles include whodunnit	0.375	0.625	0.0095	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	155	his other film roles include who done it	his other film roles include whodunnit	1625	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4664628062189401	weak_overlap	0.25	0.5	74266	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	"Other roles include the series ""Hooperman"" and ""Cop Rock""."
he is currently a member of investment bank jefferies global senior advisory board	he is currently a member of investment bank jaffery s global senior advisory board	0.1538	0.8462	0.0033	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	158	he is currently a member of investment bank jefferies global senior advisory board	he is currently a member of investment bank jaffery s global senior advisory board	1626	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4967817096573144	weak_overlap	0.2777777777777778	0.35714285714285715	111682	common_voice_en_19687004.mp3	1ee7596c1e91b3751a06e5e9bf4a4fd7f5f2d0abea1511050f095a554ce10868	Mitchell is currently a member of the InterAction Council.
bambalio refers to a tendency to stammer	compagno refers to a tendency to stammer	0.1429	0.8571	0.0079	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	177	bambalio refers to a tendency to stammer	compagno refers to a tendency to stammer	1627	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5011676564558439	weak_overlap	0.18181818181818182	0.3333333333333333	60079	common_voice_en_27725170.mp3	26b8bcf69a77ba35fae7db26858a4af4649aeaa54aecde5955d302c99c5fa467	That is in their tendency to multiplicity.
women form less than half of the group	women formed less than half of the group	0.125	0.875	0.0207	0.9629	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	184	women form less than half of the group	women formed less than half of the group	1628	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5469051365565012	weak_overlap	0.3125	0.625	34310	common_voice_en_24439310.mp3	80bb13d7f894eaf06109f1d6c8568ae76c79e6fa2a75a982e40158dc2755c7bc	Less than half of the sphere can be projected onto a finite map.
abbas was considered a leading light of the urdu short story	abbas was considered a leading writer of the religious stories	0.3636	0.6364	0.009	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	191	abbas was considered a leading light of the urdu short story	abbas was considered a leading writer of the religious stories	1629	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.30740917430944803	novel_or_generic	0.13333333333333333	0.2	81041	common_voice_en_19687004.mp3	1ee7596c1e91b3751a06e5e9bf4a4fd7f5f2d0abea1511050f095a554ce10868	The religious violence gave Thorburn an opportunity.
the genus name was given in honour of queen victoria of the united kingdom	virginia s name was given in honor of queen victoria of the united kingdom	0.2143	0.7857	0.0053	0.9435	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	194	the genus name was given in honour of queen victoria of the united kingdom	virginia s name was given in honor of queen victoria of the united kingdom	1630	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3540336556080347	novel_or_generic	0.19047619047619047	0.3076923076923077	53219	common_voice_en_21329381.mp3	4c895749425ae40e66173b9f872a37b4f1cd34bfd23d1203705f6035e7aeae98	He was best known at Oxford for his impersonation of Queen Victoria.
a song a girl a maid	a song about a mate	0.5	0.5	0.002	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	195	a song a girl a maid	a song about a mate	1631	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.44928807960885375	novel_or_generic	0.25	0.5	15814	common_voice_en_28132782.mp3	b79f7c66e29071505eb8ec7b73b32d90043952bf588889a0991c07998286f481	And yet another song about drinking.
its major industry has been slate mining	the major industry has been slate mining	0.1429	0.8571	0.0008	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	198	its major industry has been slate mining	the major industry has been slate mining	1632	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4371794394930316	novel_or_generic	0.2	0.2857142857142857	44928	common_voice_en_25027567.mp3	8936eb9db9423ee09b70f245631e27c0b02047737a8537cf4f5a503f7074b34d	Tourism is a major industry.
amsterdam mathematical centre tracts	amsterdam mathematical centre tracks	0.25	0.75	0.0	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	203	amsterdam mathematical centre tracts	amsterdam mathematical centre tracks	1633	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3433629921334844	novel_or_generic	0.125	0.25	33161	common_voice_en_23662345.mp3	7003b25ec457ec452e62c20d2f553333196f85b4a9ec866d1069c0c98071877e	This is a mathematical fact!
what kind of a proof is that	what kind of proof is that	0.1429	0.8571	0.0188	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	208	what kind of a proof is that	what kind of proof is that	1634	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.6624564441113976	strong_overlap	0.5	0.6666666666666666	56512	common_voice_en_18265800.mp3	9733affec8d78eef97d0dfb80fdca797dc88c6eafc2f33229e63b63cd0972e83	What kind of herb this is?
that application was rejected	the application was rejected	0.25	0.75	0.0064	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	210	that application was rejected	the application was rejected	1635	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.50111080461405	weak_overlap	0.3333333333333333	0.5	15123	common_voice_en_32166428.mp3	6a82d0a4a96f0a578456438f175c83ee17417ed5ca843cf8bfd3ee4627d71bea	Her application was successful.
let s go to orba	let s go to arba	0.2	0.8	0.0008	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	216	let s go to orba	let s go to arba	1636	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.9138527373230259	near_copy	0.2857142857142857	0.4	116334	common_voice_en_20751487.mp3	40ef9b108751305972945af9953f7a1104c189ded7aaf4f4173fb7a85ba4c7d7	Let's go to something!
this argument is ancient and musty and in respects an economic fallacy	this argument is ancient and must end in respects of economic policy	0.3333	0.6667	0.003	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	221	this argument is ancient and musty and in respects an economic fallacy	this argument is ancient and must end in respects of economic policy	1637	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.25171611609795885	novel_or_generic	0.16666666666666666	0.25	27237	common_voice_en_19687004.mp3	1ee7596c1e91b3751a06e5e9bf4a4fd7f5f2d0abea1511050f095a554ce10868	The argument is subjective and might be considered specious.
the amenability property has a large number of equivalent formulations	the amino ablation property has a large number of correlation formulations	0.3	0.7	0.0015	0.9629	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	222	the amenability property has a large number of equivalent formulations	the amino ablation property has a large number of correlation formulations	1638	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.48734626001527226	weak_overlap	0.3333333333333333	0.45454545454545453	37606	common_voice_en_19737749.mp3	21ee83e8cea6a2887e6602bf6b2038bc3d04d56edd5302082165ac0b323e4131	French Guiana also has a large number of Protestants.
